School Name,Address,Minutes from Grand Central Terminal,Minutes from Fulton Center,Minutes from MetroTech Center
JOHN V. LINDSAY WILDCAT ACADEMY CHARTER SCHOOL,"1231 Lafayette Avenue, Bronx 10474, Manhattan NY 10474",34,55,71
JOHN W LAVELLE PREPARATORY CHARTER SCHOOL,"1 Teleport Drive, Staten Island, NY 10311",112,80,120
JUAN MOREL CAMPOS SECONDARY SCHOOL,"215 Heyward Street, Brooklyn, NY 11206",31,27,25
KHALIL GIBRAN INTERNATIONAL ACADEMY,"326 SCHERMERHORN ST, BROOKLYN NY 11214",22,13,11
KINGSBOROUGH EARLY COLLEGE SCHOOL,"2630 BENSON AVE, BROOKLYN NY 10006",58,54,46
KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,"2780 Reservoir Avenue, Bronx, NY 10468",39,54,69
KIPP NYC College Prep,"201 East 144th Street, Bronx, NY 10451",19,28,44
Knowledge and Power Preparatory Academy International High School (Kappa),"500 East Fordham Road, Bronx, NY 10458",26,47,63
KURT HAHN EXPEDITIONARY LEARNING SCHOOL,"5800 TILDEN AVE, BROOKLYN NY 10002",56,45,41
LANDMARK HIGH SCHOOL,"351 West 18th Street, New York, NY 10011",24,16,22
LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,"90 Trinity Place, New York, NY 10006",19,5,13
LEADERSHIP INSTITUTE,"1701 FULTON AVENUE, Bronx NY 10457",57,75,68
LIBERATION DIPLOMA PLUS,"2865 WEST 19TH ST, BROOKLYN NY 10023",64,55,48
LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,"250 WEST 18TH ST, NEW YORK NY 11101",42,42,58
LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,"2630 Benson Avenue, Brooklyn, NY 11214",63,51,49
LIFE SCIENCES SECONDARY SCHOOL,"320 E 96th St, New York, NY 10128",15,36,46
LONG ISLAND CITY HIGH SCHOOL,"14-30 Broadway, Queens NY 11106",31,47,47
LOWER EAST SIDE PREPARATORY HIGH SCHOOL,"145 STANTON STREET, Manhattan NY 10002",22,16,13
LOWER MANHATTAN ARTS ACADEMY,"350 GRAND ST, NEW YORK NY 10472",22,18,12
LYONS COMMUNITY SCHOOL,"223 Graham Avenue, Brooklyn, NY 11206",26,33,33
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,"111 EAST 33RD STREET, Manhattan NY 10016",3,19,29
